cod_cliente;flg_unico_dono;flg_licenciado;flg_ipva_pago;flg_todas_revisoes_concessionaria;flg_garantia_fabrica;flg_blindado;flg_aceita_troca;flg_adaptado_pcd
1089;0;1;10;0;0;0;0;0
10791;0;0;0;0;0;0;0;0
20181;0;1;10;10;0;0;0;0
3802;1;0;0;0;0;0;0;0
21829;1;1;10;10;10;0;0;0
4298;0;0;0;0;0;0;0;0
10367;0;0;0;0;0;0;0;0
4190;0;0;0;0;0;0;0;0
8509;0;0;0;0;0;0;0;0
8006;0;0;0;0;0;0;0;0
5456;0;0;0;0;0;0;0;0
24487;0;1;10;0;0;0;0;0
10459;0;0;10;0;0;0;0;0
3394;0;0;0;0;0;0;0;0
5084;0;0;0;0;0;0;0;0
982;0;0;0;0;0;0;0;0
26529;0;1;10;0;0;0;1;0
25989;1;0;10;10;0;0;0;0
6085;0;0;0;0;0;0;0;0
18592;0;1;10;10;0;0;1;0
4207;0;1;10;0;10;0;0;0
10991;1;1;10;10;10;0;0;0
26538;0;0;0;0;0;0;0;0
16602;0;1;10;10;10;0;0;0
5733;0;1;0;0;0;0;0;0
4209;0;0;0;0;0;0;0;0
15719;0;1;10;0;0;0;0;0
25716;0;0;10;0;0;0;0;0
23053;1;1;10;0;10;0;1;0
19883;0;1;10;10;0;0;0;0
6304;0;0;0;0;0;0;0;0
4476;0;0;0;0;0;0;0;0
16500;0;1;10;10;0;0;1;0
7928;0;0;0;0;0;0;0;0
